Kreis,wa_3,cooling,year
Stadt Erfurt,2108.3020000000001,1207,2004
Stadt Gera,.,.,2004
Stadt Jena,25683.084999999999,25302.848000000002,2004
Stadt Suhl,9848.4189999999999,9051.5040000000008,2004
Stadt Weimar,.,.,2004
Stadt Eisenach,.,.,2004
Eichsfeld,10310.103999999999,9774.7330000000002,2004
Nordhausen,6897.1549999999997,4192.04,2004
Wartburgkreis,50684.029000000002,33931.072,2004
Unstrut-Hainich-Kreis,1249.5170000000001,57.521000000000001,2004
Kyffhäuserkreis,.,.,2004
Schmalkalden-Meiningen,7000.5020000000004,3885.489,2004
Gotha,3347.998,800.08100000000002,2004
Sömmerda,.,.,2004
Hildburghausen,5461.268,3773.2289999999998,2004
Ilm-Kreis,12330.704,10186.897999999999,2004
Weimarer Land,1216.3599999999999,911.98599999999999,2004
Sonneberg,3601.4940000000001,1415.152,2004
Saalfeld-Rudolstadt,39654.135000000002,37896.053999999996,2004
Saale-Holzland-Kreis,4043.1289999999999,2238.0189999999998,2004
Saale-Orla-Kreis,102602.895,81648.467999999993,2004
Greiz,6531.1279999999997,4143.8149999999996,2004
Altenburger Land,2128.346,611.38499999999999,2004
Stadt Erfurt,2356,92,2007
Stadt Gera,204,3,2007
Stadt Jena,.,.,2007
Stadt Suhl,.,.,2007
Stadt Weimar,.,.,2007
Stadt Eisenach,431,36,2007
Eichsfeld,836,198,2007
Nordhausen,3957,2774,2007
Wartburgkreis,15548,11529,2007
Unstrut-Hainich-Kreis,886,34,2007
Kyffhäuserkreis,351,26,2007
Schmalkalden-Meiningen,2623,113,2007
Gotha,1456,62,2007
Sömmerda,2665,81,2007
Hildburghausen,153,65,2007
Ilm-Kreis,394,90,2007
Weimarer Land,861,242,2007
Sonneberg,408,32,2007
Saalfeld-Rudolstadt,7125,3492,2007
Saale-Holzland-Kreis,728,151,2007
Saale-Orla-Kreis,11321,1389,2007
Greiz,4656,2094,2007
Altenburger Land,2568,102,2007
Stadt Erfurt,2259,73,2010
Stadt Gera,181,0,2010
Stadt Jena,1136,814,2010
Stadt Suhl,117,22,2010
Stadt Weimar,344,2,2010
Stadt Eisenach,388,60,2010
Eichsfeld,770,206,2010
Nordhausen,3476,2369,2010
Wartburgkreis,12241,9052,2010
Unstrut-Hainich-Kreis,479,18,2010
Kyffhäuserkreis,290,20,2010
Schmalkalden-Meiningen,2364,79,2010
Gotha,1516,91,2010
Sömmerda,2012,79,2010
Hildburghausen,178,78,2010
Ilm-Kreis,754,97,2010
Weimarer Land,809,181,2010
Sonneberg,388,62,2010
Saalfeld-Rudolstadt,7850,4130,2010
Saale-Holzland-Kreis,677,136,2010
Saale-Orla-Kreis,10713,1068,2010
Greiz,4388,1800,2010
Altenburger Land,2551,100,2010
Stadt Erfurt,2299,88,2013
Stadt Gera,244,1,2013
Stadt Jena,967,478,2013
Stadt Suhl,190,13,2013
Stadt Weimar,417,4,2013
Stadt Eisenach,383,37,2013
Eichsfeld,852,211,2013
Nordhausen,3967,2578,2013
Wartburgkreis,11553,8528,2013
Unstrut-Hainich-Kreis,821,21,2013
Kyffhäuserkreis,329,2,2013
Schmalkalden-Meiningen,2382,107,2013
Gotha,1599,106,2013
Sömmerda,1799,73,2013
Hildburghausen,221,14,2013
Ilm-Kreis,885,160,2013
Weimarer Land,789,149,2013
Sonneberg,355,31,2013
Saalfeld-Rudolstadt,6459,2841,2013
Saale-Holzland-Kreis,793,133,2013
Saale-Orla-Kreis,10874,80,2013
Greiz,4112,1635,2013
Altenburger Land,2587,112,2013
Stadt Erfurt,2791,164,2016
Stadt Gera,329,1,2016
Stadt Jena,1153,438,2016
Stadt Suhl,132,6,2016
Stadt Weimar,421,12,2016
Stadt Eisenach,478,49,2016
Eichsfeld,900,250,2016
Nordhausen,5422,4010,2016
Wartburgkreis,10523,7303,2016
Unstrut-Hainich-Kreis,910,19,2016
Kyffhäuserkreis,278,1,2016
Schmalkalden-Meiningen,2357,104,2016
Gotha,1791,345,2016
Sömmerda,1939,72,2016
Hildburghausen,252,18,2016
Ilm-Kreis,868,91,2016
Weimarer Land,994,139,2016
Sonneberg,321,65,2016
Saalfeld-Rudolstadt,8408,4927,2016
Saale-Holzland-Kreis,632,69,2016
Saale-Orla-Kreis,11099,110,2016
Greiz,3960,1700,2016
Altenburger Land,3013,31,2016
Stadt Erfurt,3024,105,2019
Stadt Gera,.,.,2019
Stadt Jena,1419,549,2019
Stadt Suhl,234,14,2019
Stadt Weimar,.,.,2019
Stadt Eisenach,391,116,2019
Eichsfeld,922,242,2019
Nordhausen,4955,3129,2019
Wartburgkreis,11276,8365,2019
Unstrut-Hainich-Kreis,1036,22,2019
Kyffhäuserkreis,315,2,2019
Schmalkalden-Meiningen,3013,76,2019
Gotha,1698,204,2019
Sömmerda,1650,81,2019
Hildburghausen,284,22,2019
Ilm-Kreis,457,33,2019
Weimarer Land,689,150,2019
Sonneberg,360,23,2019
Saalfeld-Rudolstadt,9483,5547,2019
Saale-Holzland-Kreis,717,79,2019
Saale-Orla-Kreis,10277,94,2019
Greiz,4085,1610,2019
Altenburger Land,2412,64,2019
