Year,Total business,With env prot,totalinv,envtot,share,waste,Wastewater,Noise,Air,Land,Soil,Climate
2001,1539,159,2487736,33672,"1,4",17076,8423,552,7144,221,256,.
2002,1537,157,1724853,27846,"1,6",3065,11135,2326,9254,1103,962,.
2003,,175,.,31467,.,5334,14199,2038,8502,870,525,.
2004,.,166,.,55033,.,2096,45445,877,5506,384,725,.
2005,.,129,.,20327,.,4067,7130,2315,6754,.,.,.
2006,.,180,.,86452,.,3790,44276,1858,9453,1698,1055,24322
2007,.,198,.,71000,.,2283,38944,1015,7838,2055,2208,16656
2008,1621,259,2217115,142131,"6,4",31194,79787,858,9125,9151,62,11955
2009,1628,252,1666771,172538,"10,4",19608,100970,686,5900,2663,187,42525
2010,1670,308,1740690,232271,"13,3",23918,140741,2780,11434,4359,1725,47314
2011,1692,343,1971529,237724,"12,1",34858,127298,2079,4355,1639,1523,65972
2012,1778,382,2130794,300042,"14,1",35777,196925,2305,6155,1108,1882,55890
2013,1717,417,1875382,237159,"12,6",36636,117964,1459,10076,2484,141,68399
2014,1715,436,2130979,392604,"18,4",53685,211079,1743,10036,4130,626,111306
2015,1722,459,2158025,397028,"18,4",59436,197623,1331,10070,2613,1433,124523
2016,1726,410,2014873,300605,"14,9",52835,179151,734,16286,3933,9587,38078
2017,1741,466,2067252,356882,"17,3",60700,226125,1411,19362,854,4663,43768
2018,1734,441,2340224,383969,"16,4",59491,248903,3267,11708,617,26689,33292
2019,1696,483,2254276,353033,"15,7",56738,194129,2220,18483,1464,28343,51657
2020,1617,496,2193439,391941,"17,9",53947,198432,1890,23110,25144,14647,74771
2021,1606,463,2258434,339941,"15,1",49059,175958,884,16791,19850,3244,74156
