"Kreis","bet_no","wa","eigeng","fremdb","public","andbet","year","mean_temp","gva_ind_be","gva_ind_bf","wa_b","log_wa_b","log_gva","YoYWA","TC_WA","WI","TC_WI","wa_2","tot","one","multi","circ","summer_TMK","summer_TXK","hot_days25","hot_days30","wa_3","cooling","log_gva_2010","log_gva_std","log_cooling"
"Altenburger Land",19,2553,2049,503,503,0,"2010",7.2,357,496,134.3684211,4.900585438,5.877735782,-0.661478599,NA,5.147177419,6.269298356,2553,2551,739,2,1809,18.1439823643612,23.9113346076429,37,11,"2551",100,5.877735782,0,4.60517018598809
"Altenburger Land",23,2588,2012,575,575,0,"2013",8.08,378,509,112.5217391,4.72314644,5.934894196,1.370936154,NA,5.084479371,1.218105438,2587,2587,821,2,1763,18.0369324754948,24.0687333462256,40,11,"2587",112,5.877735782,0.0571584139999999,4.71849887129509
"Altenburger Land",20,3037,2294,743,743,0,"2016",9.03,474,643,151.85,5.022893191,6.161207322,17.34930448,NA,4.723172628,7.106071569,3036,3013,907,2,2104,18.4258395585285,24.6081962949174,53,10,"3013",31,5.877735782,0.28347154,3.43398720448515
"Altenburger Land",18,2452,1708,744,744,0,"2019",9.78,507,662,136.2222222,4.914287539,6.228511004,-19.26243003,NA,3.703927492,21.57967146,2412,2412,874,7,1531,19.9443805124038,26.6775177466133,62,21,"2412",64,5.877735782,0.350775221999999,4.15888308335967
"Eichsfeld",12,857,242,615,420,195,"2010",7.2,502,675,71.41666667,4.268531269,6.21860012,-13.86934673,-16.30901288,1.26962963,15.14535641,857,770,610,30,130,17.0929090251215,22.6152546645477,27,9,"770",206,6.21860012,0,5.32787616878958
"Eichsfeld",13,911,217,694,509,186,"2013",8.08,611,809,70.07692308,4.24959354,6.415096959,6.301050175,-4.615384615,1.126081582,11.30629312,867,852,740,38,74,16.9704523266387,22.8119164019983,29,6,"852",211,6.21860012,0.196496839000001,5.35185813347607
"Eichsfeld",13,901,181,720,522,198,"2016",9.03,707,950,69.30769231,4.2385559,6.561030666,-1.097694841,6.451612903,0.948421053,15.77687908,900,900,836,0,63,17.2924560893643,22.9242196632528,37,10,"900",250,6.21860012,0.342430546,5.52146091786225
"Eichsfeld",17,923,362,561,561,0,"2019",9.78,713,981,54.29411765,3.99441589,6.56948142,2.44173141,-100,0.940876656,0.795469073,922,922,875,0,47,18.3840805230979,24.4851220623965,40,12,"922",242,6.21860012,0.3508813,5.48893772615669
"Gotha",24,1563,312,1251,1244,7,"2010",7.2,800,986,65.125,4.1763085,6.684611728,1.7578125,-30,1.585192698,-6.91794498,1563,1516,1299,92,125,17.3066891719261,22.9033225663515,30,9,"1516",91,6.684611728,0,4.51085950651685
"Gotha",27,1696,328,1368,1166,202,"2013",8.08,923,1107,62.81481481,4.14019095,6.827629235,8.509277031,2785.714286,1.532068654,3.351267251,1666,1599,1483,18,97,17.1722581239248,22.961958910457,31,11,"1599",106,6.684611728,0.143017507,4.66343909411207
"Gotha",29,1828,305,1523,851,672,"2016",9.03,1056,1260,63.03448276,4.143681922,6.962243464,7.783018868,232.6732673,1.450793651,5.304919137,1805,1791,1291,18,482,17.4593780965441,23.0817017937899,38,10,"1791",345,6.684611728,0.277631736,5.84354441703136
"Gotha",31,1725,500,1225,906,319,"2019",9.78,1106,1353,55.64516129,4.018995125,7.008505182,-5.634573304,-52.5297619,1.274944568,12.12088866,1699,1698,1218,91,389,18.7622679854668,25.1728076065978,46,14,"1698",204,6.684611728,0.323893454,5.31811999384422
"Greiz",20,6692,6487,205,201,4,"2010",7.2,404,572,334.6,5.812935789,6.001414878,31.18996275,-93.93939394,11.6993007,-43.116323,6692,4388,3504,822,62,17.6771886030207,23.3305029523712,33,10,"4388",1800,6.001414878,0,7.49554194388426
"Greiz",22,15946,15715,231,231,0,"2013",8.08,428,635,724.8181818,6.58592084,6.059123196,138.2845188,-100,25.11181102,-114.6436926,15903,4112,2873,1187,53,17.6136635128149,23.5033460973378,32,12,"4112",1635,6.001414878,0.0577083179999995,7.39939808333135
"Greiz",20,13122,12914,208,167,41,"2016",9.03,535,756,656.1,6.486313216,6.282266747,-17.70977048,Inf,17.35714286,30.88056118,13066,3960,2705,1213,42,17.9880008560487,23.8549572862419,47,9,"3960",1700,6.001414878,0.280851869,7.43838353004431
"Greiz",22,9780,9469,311,256,55,"2019",9.78,594,838,444.5454545,6.09705231,6.386879319,-25.46867856,34.14634146,11.67064439,32.76171956,9716,4085,2427,1491,168,19.5682414665284,26.1063457848833,56,17,"4085",1610,6.001414878,0.385464441,7.38398945797851
"Hildburghausen",8,178,152,26,26,0,"2010",7.2,301,383,22.25,3.102342009,5.707110265,12.65822785,NA,0.464751958,-15.30554913,178,178,167,10,1,16.9208743494777,22.6258638896221,30,9,"178",78,5.707110265,0,4.35670882668959
"Hildburghausen",8,224,172,52,52,0,"2013",8.08,376,464,28,3.33220451,5.929589143,25.84269663,NA,0.482758621,-3.874467261,223,221,208,10,3,17.0545710135995,23.0478795235351,33,10,"221",14,5.707110265,0.222478878,2.63905732961526
"Hildburghausen",8,252,160,92,92,0,"2016",9.03,473,571,31.5,3.449987546,6.159095388,12.5,NA,0.441330998,8.581436077,252,252,240,11,2,16.8648276324632,22.6820386637049,37,9,"252",18,5.707110265,0.451985123,2.89037175789616
"Hildburghausen",10,321,213,108,107,0,"2019",9.78,459,555,32.1,3.46885603,6.12905021,27.38095238,NA,0.578378378,-31.05319605,301,284,237,11,36,18.5153799603453,25.1888706580379,46,12,"284",22,5.707110265,0.421939945,3.09104245335832
"Kyffhäuserkreis",7,290,223,68,68,0,"2010",7.2,251,335,41.42857143,3.723970774,5.525452939,-17.37891738,NA,0.865671642,21.07836884,290,290,222,0,69,18.0486495447319,24.0439194031988,36,10,"290",20,5.525452939,0,2.99573227355399
"Kyffhäuserkreis",9,329,220,109,109,0,"2013",8.08,315,407,36.55555556,3.598833173,5.752572639,13.44827586,NA,0.808353808,6.621198001,329,329,228,24,77,17.9332991268818,24.1016552098129,37,13,"329",2,5.525452939,0.2271197,0.693147180559945
"Kyffhäuserkreis",8,278,248,30,30,0,"2016",9.03,355,449,34.75,3.548179572,5.872117789,-15.50151976,NA,0.619153675,23.40560922,278,278,175,62,41,18.4417634515504,24.5198795943415,48,12,"278",1,5.525452939,0.34666485,0
